,experiment,hour,date,device_make,browser,aware
4285,0,9,3,13,1,0
4294,0,0,7,66,4,0
4296,0,20,6,13,1,1
4297,1,7,7,13,1,0
4303,1,7,7,15,1,1
4308,0,16,5,64,2,1
4309,0,15,0,13,1,1
4338,1,16,2,13,1,1
4340,1,15,7,13,1,1
4344,1,10,3,19,2,1
4345,1,1,7,13,1,0
4353,1,9,0,0,2,1
4355,1,14,7,94,7,0
4360,1,14,1,13,1,0
4361,1,18,6,81,7,1
4362,1,14,1,13,1,0
4363,0,15,0,46,7,0
4374,0,15,0,93,2,0
4375,1,5,6,13,1,0
4393,1,1,7,13,1,0
4401,0,7,2,13,1,1
4403,1,7,2,13,1,0
4405,0,15,5,47,7,0
4412,1,18,5,13,1,0
4415,1,10,1,21,1,1
4449,1,20,5,13,1,1
4455,1,10,1,13,1,0
4462,1,22,5,13,1,1
4463,1,9,1,48,7,0
4473,1,9,4,61,7,0
4483,0,21,6,13,1,1
4487,1,4,4,13,1,0
4490,1,15,5,24,1,1
4492,0,13,6,77,2,0
4494,0,15,0,48,4,1
4498,1,5,0,13,1,1
4501,0,15,0,72,7,0
4510,1,10,0,9,2,0
4512,1,5,3,13,1,0
4516,1,10,2,19,2,0
4529,0,11,1,13,1,0
4532,1,15,6,13,2,1
4545,1,15,7,13,1,1
4551,0,15,0,13,1,0
4553,1,1,3,13,1,0
4558,0,15,0,13,1,0
4565,1,4,2,13,1,0
4579,0,15,0,13,1,0
4581,1,5,5,13,1,1
4582,1,14,5,13,1,1
4583,0,15,0,68,2,0
4594,1,9,0,43,2,1
4598,0,15,0,13,1,1
4601,0,10,4,22,2,0
4604,1,12,5,59,2,0
4608,0,15,0,13,1,1
4609,1,14,4,13,1,1
4623,1,1,6,13,1,0
4637,1,4,3,13,1,0
4643,1,10,1,1,2,0
4648,1,1,7,58,2,0
4655,0,4,4,13,1,0
4658,1,12,4,13,1,1
4661,0,20,5,13,1,0
4673,0,4,6,13,1,1
4685,0,4,1,13,1,0
4701,1,0,7,13,2,1
4706,0,14,7,114,6,0
4710,1,12,7,13,1,0
4719,1,7,5,47,2,0
4726,0,14,6,13,1,1
4727,0,15,7,68,4,1
4729,0,12,6,66,4,1
4732,0,7,2,74,4,1
4735,0,7,7,13,2,0
4749,0,12,1,114,5,0
4765,1,21,4,13,1,0
4767,1,17,4,50,2,0
4774,0,15,0,75,4,0
4775,1,19,5,13,2,0
4783,1,21,4,42,4,1
4794,0,15,0,23,4,0
4800,1,6,1,13,1,0
4802,1,11,1,66,2,1
4809,1,11,1,13,1,0
4811,0,22,1,21,4,1
4814,0,1,6,83,7,1
4820,1,16,6,69,7,0
4830,1,14,1,88,2,1
4834,1,18,5,26,1,1
4841,1,20,4,13,1,1
4843,0,2,2,13,1,0
4845,0,15,0,13,1,0
4847,1,4,2,13,1,0
4848,1,19,1,13,1,1
4858,0,17,1,13,1,1
4863,0,8,7,64,2,1
4865,1,7,7,13,1,0
4867,0,15,0,68,4,0
4871,0,1,3,114,5,0
4878,0,15,0,13,1,1
4881,1,2,7,13,1,0
4893,0,15,0,13,1,1
4897,0,1,6,13,1,0
4898,0,1,6,20,1,1
4901,1,5,4,13,1,0
4912,1,17,5,61,2,1
4931,1,3,6,13,1,0
4947,1,14,4,46,7,0
4954,1,18,5,13,1,1
4955,0,15,0,68,4,0
4958,1,20,5,13,1,1
4975,0,4,3,13,1,1
4977,1,20,5,13,1,0
4985,0,21,2,13,1,1
4988,1,15,1,13,1,0
4991,0,3,7,102,2,0
5006,0,10,3,13,1,0
5010,0,15,0,13,1,1
5014,1,14,1,69,2,1
5018,0,6,4,13,1,1
5037,1,19,5,68,2,1
5041,0,15,0,13,1,1
5048,1,22,5,13,1,0
5051,1,6,4,48,2,0
5057,1,20,6,2,4,0
5063,1,11,1,13,1,1
5069,1,23,6,13,1,1
5074,0,7,3,13,1,0
5078,1,14,2,13,1,1
5099,0,11,1,52,7,1
5104,0,17,1,13,1,0
5109,0,15,0,68,2,0
5118,1,6,3,13,1,1
5127,0,18,5,13,1,0
5134,1,18,5,66,2,1
5138,0,15,0,13,1,1
5139,0,15,0,21,2,0
5140,1,5,0,109,2,1
5143,1,18,5,66,2,1
5148,0,9,7,13,1,1
5150,1,7,6,68,2,1
5152,1,19,5,13,1,1
5158,0,7,3,27,2,1
5159,0,12,2,13,1,0
5164,1,1,4,68,2,0
5170,1,3,7,13,1,1
5173,1,19,1,65,7,0
5176,0,15,0,13,1,1
5182,1,19,4,13,1,1
5192,1,7,2,38,2,0
5193,1,5,1,13,1,1
5202,0,11,6,87,7,0
5221,0,15,7,41,7,1
5245,1,11,4,13,1,0
5247,1,4,7,19,4,0
5248,0,5,6,68,2,1
5253,0,15,0,13,1,0
5256,0,8,1,13,1,1
5258,1,13,1,10,2,1
5268,0,15,0,68,7,1
5270,0,15,0,47,7,0
5272,0,15,0,13,1,1
5274,1,4,5,13,1,1
5278,0,9,6,114,5,1
5298,0,15,0,64,7,0
5314,1,11,0,13,4,1
5320,1,18,6,13,1,0
5322,0,11,7,13,1,0
5324,1,4,7,13,1,1
5333,1,12,0,13,1,0
5334,1,17,6,69,2,1
5340,0,5,7,36,4,1
5351,1,7,2,13,1,0
5354,0,15,0,13,1,0
5355,0,7,7,66,2,0
5360,1,22,6,53,2,1
5362,0,21,4,13,1,0
5363,0,5,2,13,1,1
5365,1,14,2,13,1,1
5373,1,0,7,73,4,1
5384,0,15,0,114,5,0
5393,1,16,5,13,1,1
5403,1,21,5,66,2,1
5404,1,14,0,65,2,0
5407,1,15,5,13,1,1
5409,1,6,6,13,1,0
5410,0,17,5,13,1,0
5413,1,12,1,44,4,0
5418,0,9,6,42,7,1
5421,0,19,5,42,7,1
5441,1,12,6,13,1,0
5456,0,15,0,13,1,1
5472,1,9,4,13,4,0
5478,1,17,5,13,1,0
5484,1,11,6,13,1,1
5488,1,13,1,13,1,0
5491,0,21,4,13,1,1
5492,0,12,7,21,1,1
5502,1,21,5,13,1,0
5507,1,5,7,13,1,0
5518,1,17,5,13,1,0
5519,0,16,2,67,4,1
5522,1,16,5,13,1,1
5525,1,5,5,35,2,0
5531,0,15,0,47,7,1
5533,1,7,5,13,1,1
5536,0,13,7,13,1,0
5543,1,12,1,13,1,0
5544,1,6,4,13,2,1
5547,1,5,2,13,1,1
5550,1,3,0,68,2,0
5556,1,10,3,66,2,0
5557,0,15,0,7,2,0
5561,1,7,1,30,2,1
5562,1,6,1,66,2,0
5564,0,15,0,60,7,0
5574,1,17,6,47,7,0
5579,0,4,3,13,1,0
5588,1,2,0,13,1,1
5608,0,11,6,43,7,1
5614,1,15,5,13,1,1
5616,0,22,5,72,4,0
5618,1,11,0,48,2,0
5624,1,13,1,13,1,1
5626,1,12,4,13,1,0
5639,1,2,0,13,1,1
5642,1,20,5,13,1,1
5644,0,15,0,13,1,0
5647,1,21,6,13,1,0
5648,0,15,0,13,1,1
5658,1,3,6,13,1,1
5662,1,7,0,98,2,1
5665,0,0,3,36,4,1
5668,0,15,0,69,4,0
5670,1,20,5,13,1,1
5684,0,15,0,42,1,1
5691,0,8,4,81,7,0
5692,0,18,6,13,1,0
5696,0,15,0,13,1,0
5705,0,14,5,43,2,0
5725,1,13,0,13,1,1
5731,1,19,5,13,1,0
5734,0,14,4,13,1,0
5738,1,12,2,68,4,1
5740,1,6,7,13,1,1
5741,0,15,0,13,1,0
5750,1,13,6,37,2,1
5764,0,9,1,65,4,0
5771,1,18,2,13,1,1
5786,1,2,4,72,7,0
5803,0,0,7,68,4,0
5809,1,14,5,68,2,1
5813,1,10,6,13,1,0
5814,1,18,5,87,2,0
5817,1,0,5,13,1,0
5821,0,13,5,13,1,1
5828,0,15,0,13,1,0
5830,1,1,4,97,2,1
5831,1,12,0,48,2,0
5841,0,15,0,13,1,0
5844,0,11,1,21,1,1
5854,1,2,7,13,1,1
5858,1,15,5,38,2,0
5866,1,0,7,13,1,0
5869,0,13,4,13,1,1
5872,0,0,6,48,2,1
5878,0,12,6,13,1,0
5895,1,17,1,13,1,0
5897,1,6,0,13,1,1
5908,0,11,5,93,4,0
5916,1,6,1,41,2,0
5918,1,4,2,13,1,0
5925,1,5,5,13,1,0
5929,0,15,0,47,7,0
5933,0,3,2,13,1,1
5938,1,0,7,43,2,1
5939,1,16,5,13,1,1
5944,1,8,6,13,1,1
5966,0,15,0,13,1,1
5968,0,15,0,13,1,0
5978,0,15,0,78,2,0
5983,1,15,2,13,1,1
5988,1,9,3,13,1,1
5993,0,6,6,13,1,0
5995,1,17,1,73,7,1
6000,0,15,0,13,1,1
6002,0,1,1,13,1,0
6004,0,15,0,62,2,0
6007,1,19,5,13,1,1
6009,0,20,1,13,1,1
6012,1,13,6,13,1,0
6023,1,22,5,13,1,0
6025,1,9,6,13,1,0
6033,1,15,7,13,1,0
6036,1,16,5,43,2,0
6040,0,15,0,13,1,0
6042,1,4,3,13,1,1
6049,1,6,1,69,2,1
6053,0,9,6,43,2,1
6056,1,10,4,13,1,1
6057,0,11,1,13,1,1
6058,1,20,6,13,1,1
6070,1,12,0,31,2,1
6072,1,2,1,1,4,1
6075,1,20,5,13,1,1
6077,1,10,0,71,2,1
6088,0,10,1,3,4,0
6093,1,8,0,60,2,1
6095,0,12,1,13,1,0
6113,0,15,0,13,1,0
6116,1,7,1,13,1,1
6119,0,19,5,13,1,0
6135,0,15,0,54,4,1
6138,0,19,4,13,1,1
6158,0,15,0,42,7,0
6163,0,17,6,13,1,0
6171,0,15,0,13,1,0
6186,1,9,6,13,2,1
6203,0,15,0,114,5,0
6209,1,8,1,86,7,1
6215,0,15,0,13,1,0
6220,0,3,7,13,1,0
6224,0,15,0,13,1,1
6225,0,15,0,13,1,0
6231,0,16,5,13,1,1
6238,1,3,0,13,1,0
6241,0,5,6,68,7,1
6250,1,13,4,13,2,1
6257,1,9,6,25,2,0
6269,1,9,7,13,4,1
6289,1,20,5,79,7,1
6290,1,3,7,13,1,0
6293,0,12,2,77,7,0
6297,0,10,4,64,7,1
6298,0,18,2,13,1,0
6307,1,12,2,13,1,1
6310,1,22,5,13,1,0
6316,0,8,6,13,1,0
6320,0,10,2,68,2,0
6334,0,13,1,52,7,0
6335,0,4,2,13,1,0
6339,0,5,5,13,1,0
6344,1,7,0,13,1,1
6354,0,10,3,13,1,1
6404,0,21,5,13,1,1
6410,0,11,1,114,5,0
6413,0,19,6,68,7,1
6416,1,9,4,13,2,1
6418,1,21,6,68,2,1
6419,0,1,7,33,4,1
6429,0,13,1,13,1,0
6431,1,16,5,69,2,1
6436,1,9,0,13,1,0
6439,1,6,3,13,1,1
6448,1,5,3,81,7,0
6474,0,19,6,13,1,0
6490,0,5,4,26,1,0
6493,0,8,2,65,7,0
6494,1,6,7,13,4,0
6497,1,13,0,13,1,1
6499,1,3,1,13,1,0
6530,0,15,0,64,7,1
6541,1,9,7,68,7,0
6542,0,15,0,73,4,0
6549,0,20,5,13,1,1
6550,0,23,5,104,4,1
6552,0,15,0,13,1,0
6568,0,15,0,13,1,0
6575,1,11,7,13,1,0
6591,1,20,1,13,2,1
6598,0,15,0,13,1,0
6621,0,3,5,51,7,0
6629,0,6,7,66,4,0
6640,0,15,5,13,1,0
6651,0,15,0,13,1,0
6654,0,9,2,13,1,1
6656,1,10,7,26,1,0
6658,1,0,6,16,1,1
6661,1,21,6,13,1,0
6668,0,17,2,13,1,0
6669,1,7,3,66,4,1
6670,1,7,1,13,1,0
6671,1,0,6,45,7,1
6675,0,15,0,13,1,0
6677,0,12,6,13,1,1
6682,0,15,0,52,7,1
6696,1,6,2,13,1,1
6700,1,18,6,13,1,1
6711,1,0,0,13,2,1
6743,1,20,6,13,1,1
6749,1,20,5,48,2,1
6752,0,16,2,13,1,1
6761,0,9,1,13,1,1
6762,1,15,5,34,4,0
6767,1,10,1,13,1,0
6773,0,9,4,13,1,1
6777,0,4,6,13,1,0
6779,0,9,3,54,2,0
6782,0,15,0,68,4,0
6813,0,15,0,47,7,0
6821,0,15,0,91,2,0
6822,0,15,0,13,1,0
6824,0,15,0,13,1,1
6833,1,14,0,13,1,1
6836,1,4,3,62,2,1
6851,1,13,0,28,2,1
6855,0,10,4,13,1,0
6859,1,10,3,13,1,0
6863,1,7,1,11,2,1
6865,1,16,5,13,1,0
6871,1,11,6,13,1,0
6874,1,22,6,13,1,0
6881,1,18,2,86,7,1
6894,0,1,2,66,7,0
6899,0,9,1,86,7,0
6904,0,15,0,46,4,0
6905,1,2,6,114,5,0
6906,0,15,0,13,1,1
6907,1,21,4,36,2,1
6919,1,1,0,52,2,1
6923,1,3,3,13,1,1
6926,1,14,2,43,7,1
6927,0,15,0,65,7,1
6942,0,16,6,13,1,1
6944,0,20,1,13,1,0
6946,1,7,4,13,1,1
6951,0,15,1,66,4,0
6954,1,8,4,13,1,0
6961,1,13,4,53,4,1
6967,1,11,1,53,2,0
6971,0,15,0,107,4,0
6973,0,12,1,1,4,0
6974,1,18,5,13,1,1
6984,1,8,0,13,1,1
6987,0,10,5,13,1,1
6988,0,20,6,72,4,0
7005,1,20,1,13,1,1
7025,1,9,3,13,1,1
7026,1,4,7,44,2,0
7033,0,11,1,13,1,1
7042,0,15,0,13,1,1
7054,0,4,1,13,1,1
7059,1,17,6,63,2,0
7069,0,21,5,8,2,1
7076,0,7,4,26,1,0
7089,0,20,1,106,4,0
7090,0,15,0,13,1,1
7092,1,18,6,13,1,0
7095,0,5,6,114,5,1
7107,0,15,0,52,7,0
7116,1,7,0,62,2,0
7117,0,21,5,13,1,1
7123,0,16,1,13,1,1
7124,0,5,7,13,1,0
7125,1,14,2,21,2,1
7127,1,10,6,67,7,1
7133,0,21,5,13,1,1
7150,0,6,7,13,1,1
7151,0,15,0,77,7,1
7152,0,5,2,13,1,0
7156,1,18,1,13,1,1
7157,1,7,5,97,4,1
7159,1,15,5,43,7,0
7163,1,13,5,43,2,0
7165,1,19,5,13,2,0
7166,0,19,5,68,2,0
7169,0,15,0,13,1,0
7192,0,15,0,43,7,0
7204,0,9,6,32,4,1
7209,1,8,2,13,1,0
7210,1,18,5,22,4,0
7215,0,7,4,13,1,1
7216,0,11,1,71,4,1
7217,0,14,1,13,1,0
7226,0,15,0,13,1,0
7227,1,8,6,71,2,1
7229,0,15,0,13,1,0
7231,1,7,5,13,1,1
7234,0,15,0,13,1,0
7236,1,23,6,13,1,1
7237,1,10,0,84,2,1
7243,1,20,6,13,1,1
7255,0,15,0,13,1,1
7267,0,3,7,80,2,0
7274,0,14,6,72,4,0
7284,1,19,2,48,2,1
7285,1,5,7,69,2,1
7286,1,15,1,13,1,0
7293,1,5,3,13,1,0
7314,1,7,3,31,2,0
7316,1,12,1,68,7,0
7321,1,6,6,13,1,0
7322,1,8,7,13,1,1
7334,0,15,0,13,2,0
7336,1,6,3,13,1,0
7342,0,21,6,13,1,0
7343,1,11,0,13,1,0
7348,0,9,4,65,4,1
7355,0,5,2,13,1,0
7359,1,8,5,57,7,0
7366,0,15,0,13,1,0
7375,1,7,0,13,1,1
7411,0,14,7,101,4,0
7421,1,8,3,37,2,1
7430,0,8,3,13,1,1
7436,1,1,0,13,1,0
7437,1,9,3,73,2,0
7444,0,1,3,87,7,0
7451,1,3,2,66,2,0
7465,0,11,1,114,3,1
7470,1,9,2,13,1,0
7475,0,15,0,76,4,1
7479,1,13,0,13,2,0
7483,0,15,0,13,1,0
7485,1,2,3,26,1,1
7489,0,15,0,69,2,1
7510,0,14,5,13,1,0
7522,1,4,7,94,2,1
7535,1,3,2,13,1,1
7541,0,15,0,23,4,1
7542,1,21,6,13,1,1
7546,1,4,7,13,1,1
7549,1,12,0,13,1,0
7557,1,8,1,13,1,0
7562,0,7,4,47,7,0
7565,1,4,0,13,1,0
7566,0,21,5,13,1,1
7584,1,22,4,13,1,0
7594,1,17,6,13,1,1
7596,1,8,6,35,2,0
7608,0,15,0,81,7,1
7610,1,9,6,13,1,1
7622,1,3,6,89,4,0
7626,0,15,0,12,4,1
7627,0,15,5,11,4,1
7634,1,13,4,43,2,1
7637,1,5,3,105,4,0
7646,0,20,6,33,4,0
7650,1,13,1,99,4,1
7654,1,21,6,13,2,1
7657,0,15,0,35,4,1
7670,0,15,0,13,1,1
7675,0,2,1,72,2,1
7681,0,15,0,64,7,1
7684,1,6,1,13,1,0
7689,1,7,0,13,1,0
7692,1,20,4,71,2,1
7698,0,15,0,13,1,0
7699,1,8,6,13,1,1
7703,0,15,0,13,1,0
7718,0,15,0,81,7,0
7723,1,13,6,13,1,1
7730,0,15,0,13,1,0
7732,1,15,5,13,1,0
7734,0,20,5,13,1,0
7735,0,15,0,51,7,0
7742,1,3,7,13,1,0
7745,1,4,5,86,7,1
7755,1,9,0,13,4,0
7762,0,19,2,72,7,0
7768,1,14,5,13,2,0
7782,1,17,6,73,2,1
7792,1,1,1,13,1,1
7793,0,7,1,64,7,0
7797,1,8,0,86,2,1
7799,0,15,0,95,4,1
7803,1,2,0,42,7,1
7807,1,5,7,68,7,0
7808,0,3,3,42,7,1
7809,1,13,2,66,2,1
7821,0,4,7,55,7,1
7827,1,4,3,13,1,1
7828,0,15,0,65,7,1
7837,1,5,0,13,1,0
7839,0,15,0,13,4,0
7845,0,15,0,13,1,1
7851,0,9,5,96,7,0
7852,1,0,0,13,1,0
7856,0,17,4,114,6,0
7861,0,15,0,13,1,0
7874,1,14,6,13,1,0
7877,0,1,4,13,1,0
7885,1,10,2,66,2,1
7886,0,16,4,13,1,0
7889,1,19,5,13,1,0
7890,0,5,3,13,1,1
7898,1,8,7,13,1,0
7901,1,8,7,44,2,0
7902,1,3,2,13,1,0
7906,0,15,0,13,1,1
7915,0,2,1,64,4,0
7918,1,13,1,104,2,1
7919,1,6,7,13,1,0
7925,0,15,0,13,1,1
7937,0,8,6,33,4,0
7938,1,11,0,13,1,0
7940,0,15,0,13,1,1
7944,0,10,7,112,4,1
7962,1,6,1,13,2,1
7969,0,15,0,81,7,1
7975,0,12,7,51,2,0
7977,0,15,0,13,1,1
7990,0,3,2,13,1,0
7991,0,15,0,13,1,0
8003,0,4,2,2,1,0
8004,0,15,0,73,7,1
8010,0,4,1,13,1,0
8016,1,17,5,69,4,0
8021,1,4,6,13,2,1
8031,0,1,7,13,1,1
8042,1,14,6,13,1,1
8054,1,8,7,72,7,1
8058,1,18,6,13,1,0
8059,1,21,2,13,1,1
8063,1,1,1,13,1,1
8064,0,7,6,13,1,0
8069,0,16,7,13,1,0
8071,1,4,0,13,1,0
